STATECD,COUNTYCD,PLOT,INVYR,KEY,TIME_PER
55,109,20094,2000,55_109_20094,0
55,51,20343,2000,55_51_20343,0
55,51,20344,2000,55_51_20344,0
55,51,20347,2000,55_51_20347,0
55,51,20348,2000,55_51_20348,0
55,53,20386,2000,55_53_20386,0
55,53,20198,2000,55_53_20198,0
55,53,20036,2000,55_53_20036,0
55,53,20105,2000,55_53_20105,0
55,53,20058,2000,55_53_20058,0
55,53,20371,2000,55_53_20371,0
55,53,20309,2000,55_53_20309,0
55,53,20301,2000,55_53_20301,0
55,53,20159,2000,55_53_20159,0
55,53,20038,2000,55_53_20038,0
55,53,20277,2000,55_53_20277,0
55,53,20203,2000,55_53_20203,0
55,53,20263,2000,55_53_20263,0
55,53,20193,2000,55_53_20193,0
55,53,20143,2000,55_53_20143,0
55,53,20334,2000,55_53_20334,0
55,109,20214,2000,55_109_20214,0
55,109,20264,2000,55_109_20264,0
55,109,20220,2000,55_109_20220,0
55,109,20209,2000,55_109_20209,0
55,109,20052,2000,55_109_20052,0
55,109,20245,2000,55_109_20245,0
55,109,20194,2000,55_109_20194,0
55,109,20133,2000,55_109_20133,0
55,109,20275,2000,55_109_20275,0
55,25,20083,2000,55_25_20083,0
55,25,20216,2000,55_25_20216,0
55,25,20275,2000,55_25_20275,0
55,25,20063,2000,55_25_20063,0
55,25,20121,2000,55_25_20121,0
55,25,20298,2000,55_25_20298,0
55,25,20283,2000,55_25_20283,0
55,25,20302,2000,55_25_20302,0
55,25,20219,2000,55_25_20219,0
55,25,20169,2000,55_25_20169,0
55,25,20200,2000,55_25_20200,0
55,25,20151,2000,55_25_20151,0
55,25,20009,2000,55_25_20009,0
55,25,20022,2000,55_25_20022,0
55,25,20010,2000,55_25_20010,0
55,25,20161,2000,55_25_20161,0
55,25,20454,2000,55_25_20454,0
55,25,20038,2000,55_25_20038,0
55,25,20011,2000,55_25_20011,0
55,25,20220,2000,55_25_20220,0
55,25,20133,2000,55_25_20133,0
55,25,20150,2000,55_25_20150,0
55,25,20290,2000,55_25_20290,0
55,25,20432,2000,55_25_20432,0
55,25,20459,2000,55_25_20459,0
55,25,20460,2000,55_25_20460,0
55,25,20468,2000,55_25_20468,0
55,25,20469,2000,55_25_20469,0
55,25,20470,2000,55_25_20470,0
55,25,20472,2000,55_25_20472,0
55,25,20473,2000,55_25_20473,0
55,25,20474,2000,55_25_20474,0
55,25,20475,2000,55_25_20475,0
55,25,20476,2000,55_25_20476,0
55,25,20477,2000,55_25_20477,0
55,25,20478,2000,55_25_20478,0
55,25,20479,2000,55_25_20479,0
55,25,20480,2000,55_25_20480,0
55,25,20481,2000,55_25_20481,0
55,25,20482,2000,55_25_20482,0
55,25,20483,2000,55_25_20483,0
55,25,20484,2000,55_25_20484,0
55,25,20485,2000,55_25_20485,0
55,25,20486,2000,55_25_20486,0
55,25,20487,2000,55_25_20487,0
55,25,20488,2000,55_25_20488,0
55,25,20489,2000,55_25_20489,0
55,27,20069,2000,55_27_20069,0
55,27,20208,2000,55_27_20208,0
55,27,20127,2000,55_27_20127,0
55,27,20023,2000,55_27_20023,0
55,27,20230,2000,55_27_20230,0
55,27,20158,2000,55_27_20158,0
55,61,20041,2000,55_61_20041,0
55,61,20272,2000,55_61_20272,0
55,61,20298,2000,55_61_20298,0
55,61,20299,2000,55_61_20299,0
55,61,20300,2000,55_61_20300,0
55,61,20301,2000,55_61_20301,0
55,61,20302,2000,55_61_20302,0
55,61,20303,2000,55_61_20303,0
55,63,20106,2000,55_63_20106,0
55,63,20163,2000,55_63_20163,0
55,63,20066,2000,55_63_20066,0
55,53,20270,2000,55_53_20270,0
55,53,20220,2000,55_53_20220,0
55,53,20252,2000,55_53_20252,0
55,53,20247,2000,55_53_20247,0
55,53,20043,2000,55_53_20043,0
55,53,20256,2000,55_53_20256,0
55,53,20160,2000,55_53_20160,0
55,53,20296,2000,55_53_20296,0
55,53,20200,2000,55_53_20200,0
55,53,20357,2000,55_53_20357,0
55,53,20403,2000,55_53_20403,0
55,53,20409,2000,55_53_20409,0
55,53,20410,2000,55_53_20410,0
55,53,20411,2000,55_53_20411,0
55,53,20412,2000,55_53_20412,0
55,53,20413,2000,55_53_20413,0
55,53,20414,2000,55_53_20414,0
55,53,20415,2000,55_53_20415,0
55,53,20416,2000,55_53_20416,0
55,53,20417,2000,55_53_20417,0
55,53,20418,2000,55_53_20418,0
55,53,20419,2000,55_53_20419,0
55,53,20420,2000,55_53_20420,0
55,53,20421,2000,55_53_20421,0
55,55,20214,2000,55_55_20214,0
55,55,20217,2000,55_55_20217,0
55,55,20218,2000,55_55_20218,0
55,55,20219,2000,55_55_20219,0
55,55,20220,2000,55_55_20220,0
55,55,20221,2000,55_55_20221,0
55,55,20222,2000,55_55_20222,0
55,55,20223,2000,55_55_20223,0
55,55,20224,2000,55_55_20224,0
55,57,20078,2000,55_57_20078,0
55,57,20187,2000,55_57_20187,0
55,57,20114,2000,55_57_20114,0
55,57,20173,2000,55_57_20173,0
55,57,20146,2000,55_57_20146,0
55,57,20286,2000,55_57_20286,0
55,57,20004,2000,55_57_20004,0
55,57,20013,2000,55_57_20013,0
55,57,20016,2000,55_57_20016,0
55,57,20061,2000,55_57_20061,0
55,57,20017,2000,55_57_20017,0
55,57,20290,2000,55_57_20290,0
55,57,20040,2000,55_57_20040,0
55,57,20317,2000,55_57_20317,0
55,57,20326,2000,55_57_20326,0
55,57,20313,2000,55_57_20313,0
55,57,20244,2000,55_57_20244,0
55,57,20152,2000,55_57_20152,0
55,57,20296,2000,55_57_20296,0
55,57,20243,2000,55_57_20243,0
55,57,20203,2000,55_57_20203,0
55,57,20335,2000,55_57_20335,0
55,57,20336,2000,55_57_20336,0
55,57,20337,2000,55_57_20337,0
55,57,20338,2000,55_57_20338,0
55,57,20339,2000,55_57_20339,0
55,57,20340,2000,55_57_20340,0
55,57,20341,2000,55_57_20341,0
55,57,20342,2000,55_57_20342,0
55,57,20343,2000,55_57_20343,0
55,57,20344,2000,55_57_20344,0
55,57,20345,2000,55_57_20345,0
55,57,20346,2000,55_57_20346,0
55,57,20347,2000,55_57_20347,0
55,57,20348,2000,55_57_20348,0
55,57,20349,2000,55_57_20349,0
55,59,20005,2000,55_59_20005,0
55,59,20047,2000,55_59_20047,0
55,59,20091,2000,55_59_20091,0
55,59,20054,2000,55_59_20054,0
55,59,20001,2000,55_59_20001,0
55,59,20052,2000,55_59_20052,0
55,59,20066,2000,55_59_20066,0
55,59,20261,2000,55_59_20261,0
55,59,20263,2000,55_59_20263,0
55,59,20264,2000,55_59_20264,0
55,59,20265,2000,55_59_20265,0
55,59,20267,2000,55_59_20267,0
55,61,20022,2000,55_61_20022,0
55,61,20054,2000,55_61_20054,0
55,61,20029,2000,55_61_20029,0
55,61,20083,2000,55_61_20083,0
55,61,20009,2000,55_61_20009,0
55,61,20093,2000,55_61_20093,0
55,53,20422,2000,55_53_20422,0
55,53,20424,2000,55_53_20424,0
55,53,20425,2000,55_53_20425,0
55,53,20426,2000,55_53_20426,0
55,53,20427,2000,55_53_20427,0
55,55,20077,2000,55_55_20077,0
55,55,20025,2000,55_55_20025,0
55,55,20103,2000,55_55_20103,0
55,55,20042,2000,55_55_20042,0
55,55,20158,2000,55_55_20158,0
55,55,20032,2000,55_55_20032,0
55,55,20111,2000,55_55_20111,0
55,55,20195,2000,55_55_20195,0
55,55,20179,2000,55_55_20179,0
55,55,20056,2000,55_55_20056,0
55,55,20001,2000,55_55_20001,0
55,55,20005,2000,55_55_20005,0
55,55,20036,2000,55_55_20036,0
55,55,20136,2000,55_55_20136,0
55,55,20123,2000,55_55_20123,0
55,55,20196,2000,55_55_20196,0
55,27,20191,2000,55_27_20191,0
55,27,20318,2000,55_27_20318,0
55,27,20155,2000,55_27_20155,0
55,27,20125,2000,55_27_20125,0
55,27,20280,2000,55_27_20280,0
55,25,20254,2000,55_25_20254,0
55,27,20228,2000,55_27_20228,0
55,27,20178,2000,55_27_20178,0
55,27,20275,2000,55_27_20275,0
55,27,20019,2000,55_27_20019,0
55,27,20305,2000,55_27_20305,0
55,63,20061,2000,55_63_20061,0
55,63,20031,2000,55_63_20031,0
55,63,20145,2000,55_63_20145,0
55,63,20111,2000,55_63_20111,0
55,63,20141,2000,55_63_20141,0
55,63,20016,2000,55_63_20016,0
55,63,20051,2000,55_63_20051,0
55,63,20140,2000,55_63_20140,0
55,63,20014,2000,55_63_20014,0
55,63,20203,2000,55_63_20203,0
55,63,20204,2000,55_63_20204,0
55,63,20207,2000,55_63_20207,0
55,63,20208,2000,55_63_20208,0
55,63,20209,2000,55_63_20209,0
55,63,20210,2000,55_63_20210,0
55,63,20211,2000,55_63_20211,0
55,65,20097,2000,55_65_20097,0
55,65,20093,2000,55_65_20093,0
55,65,20089,2000,55_65_20089,0
55,65,20232,2000,55_65_20232,0
55,65,20004,2000,55_65_20004,0
55,65,20124,2000,55_65_20124,0
55,65,20221,2000,55_65_20221,0
55,65,20085,2000,55_65_20085,0
55,65,20131,2000,55_65_20131,0
55,65,20073,2000,55_65_20073,0
55,65,20209,2000,55_65_20209,0
55,65,20159,2000,55_65_20159,0
55,65,20174,2000,55_65_20174,0
55,65,20200,2000,55_65_20200,0
55,65,20239,2000,55_65_20239,0
55,65,20240,2000,55_65_20240,0
55,65,20241,2000,55_65_20241,0
55,65,20242,2000,55_65_20242,0
55,65,20243,2000,55_65_20243,0
55,65,20244,2000,55_65_20244,0
