"","STATECD","COUNTYCD","PLOT","INVYR","CONDITION","KEY","TIME_PER","subplot_list"
"92",55,1,20325,2003,"F","55_1_20325",0,"3124"
"93",55,1,20327,2004,"M","55_1_20327",0,"1342"
"94",55,1,20333,2004,"M","55_1_20333",0,"2314"
"95",55,1,20336,2004,"F","55_1_20336",0,"2134"
"96",55,1,20337,2004,"F","55_1_20337",0,"1243"
"97",55,101,20006,2002,"M","55_101_20006",0,"3142"
"98",55,101,20021,2003,"M","55_101_20021",0,"3412"
"99",55,101,20073,2000,"F","55_101_20073",0,"4213"
"100",55,101,20087,2000,"M","55_101_20087",0,"1234"
"101",55,101,20270,2001,"F","55_101_20270",0,"3241"
"102",55,101,20285,2003,"F","55_101_20285",0,"2431"
"103",55,101,20295,2003,"F","55_101_20295",0,"3412"
"104",55,103,20001,2001,"M","55_103_20001",0,"4312"
"105",55,103,20006,2004,"F","55_103_20006",0,"1342"
"106",55,103,20007,2003,"F","55_103_20007",0,"4321"
"107",55,103,20011,2002,"M","55_103_20011",0,"4321"
"108",55,103,20013,2002,"F","55_103_20013",0,"4132"
"109",55,103,20014,2001,"M","55_103_20014",0,"2134"
"110",55,103,20017,2004,"M","55_103_20017",0,"1243"
"111",55,103,20020,2000,"M","55_103_20020",0,"4132"
"112",55,103,20035,2001,"F","55_103_20035",0,"2314"
"113",55,103,20049,2001,"F","55_103_20049",0,"1342"
"114",55,103,20075,2001,"F","55_103_20075",0,"3214"
"115",55,103,20077,2001,"F","55_103_20077",0,"3241"
"116",55,103,20078,2003,"M","55_103_20078",0,"2431"
"117",55,103,20085,2000,"F","55_103_20085",0,"4312"
"118",55,103,20086,2003,"M","55_103_20086",0,"3214"
"119",55,103,20090,2002,"F","55_103_20090",0,"2431"
"120",55,103,20096,2001,"F","55_103_20096",0,"3412"
"121",55,103,20105,2000,"F","55_103_20105",0,"2413"
"122",55,103,20108,2002,"F","55_103_20108",0,"2314"
"123",55,103,20110,2004,"M","55_103_20110",0,"4132"
"124",55,103,20112,2002,"M","55_103_20112",0,"2314"
"125",55,103,20127,2004,"M","55_103_20127",0,"2341"
"126",55,103,20128,2003,"M","55_103_20128",0,"3142"
"127",55,103,20136,2004,"F","55_103_20136",0,"4321"
"128",55,103,20143,2001,"F","55_103_20143",0,"4123"
"129",55,103,20145,2000,"F","55_103_20145",0,"1342"
"130",55,103,20149,2002,"F","55_103_20149",0,"2314"
"131",55,103,20150,2002,"F","55_103_20150",0,"2341"
"132",55,103,20152,2000,"F","55_103_20152",0,"2314"
"133",55,103,20156,2003,"F","55_103_20156",0,"1324"
"134",55,103,20159,2000,"M","55_103_20159",0,"4132"
"135",55,103,20160,2002,"F","55_103_20160",0,"1432"
"136",55,103,20167,2004,"M","55_103_20167",0,"4213"
"137",55,103,20168,2004,"F","55_103_20168",0,"4321"
"138",55,103,20177,2000,"M","55_103_20177",0,"4213"
"139",55,103,20178,2003,"F","55_103_20178",0,"1234"
"140",55,103,20187,2002,"F","55_103_20187",0,"4231"
"141",55,103,20192,2004,"F","55_103_20192",0,"4213"
"142",55,103,20209,2002,"M","55_103_20209",0,"3142"
"143",55,103,20213,2001,"M","55_103_20213",0,"4312"
"144",55,103,20219,2004,"F","55_103_20219",0,"1243"
"145",55,103,20221,2000,"M","55_103_20221",0,"1432"
"146",55,103,20222,2004,"F","55_103_20222",0,"3214"
"147",55,103,20223,2000,"F","55_103_20223",0,"1342"
"148",55,103,20224,2004,"F","55_103_20224",0,"4321"
"149",55,103,20225,2003,"F","55_103_20225",0,"1423"
"150",55,103,20226,2004,"F","55_103_20226",0,"1234"
"151",55,103,20231,2000,"M","55_103_20231",0,"1432"
"152",55,103,20235,2000,"F","55_103_20235",0,"2431"
"153",55,103,20236,2000,"M","55_103_20236",0,"3124"
"154",55,103,20238,2001,"M","55_103_20238",0,"3241"
"155",55,103,20241,2001,"M","55_103_20241",0,"4321"
"156",55,103,20251,2002,"M","55_103_20251",0,"2314"
"157",55,103,20254,2002,"M","55_103_20254",0,"1342"
"158",55,103,20256,2002,"F","55_103_20256",0,"1243"
"159",55,103,20262,2003,"F","55_103_20262",0,"2413"
"160",55,103,20263,2003,"F","55_103_20263",0,"4312"
"161",55,103,20265,2003,"F","55_103_20265",0,"4123"
"162",55,103,20268,2003,"F","55_103_20268",0,"2431"
"163",55,103,20271,2003,"F","55_103_20271",0,"2314"
"164",55,103,20277,2003,"F","55_103_20277",0,"2341"
"165",55,103,20285,2004,"M","55_103_20285",0,"2314"
"166",55,105,10375,2004,"M","55_105_10375",0,"4312"
"167",55,105,20003,2000,"M","55_105_20003",0,"3124"
"168",55,105,20006,2001,"F","55_105_20006",0,"4132"
"169",55,105,20023,2003,"M","55_105_20023",0,"3214"
"170",55,105,20025,2004,"F","55_105_20025",0,"1342"
"171",55,105,20058,2002,"F","55_105_20058",0,"2314"
"172",55,105,20083,2002,"M","55_105_20083",0,"3421"
"173",55,105,20088,2002,"M","55_105_20088",0,"4123"
"174",55,105,20101,2000,"F","55_105_20101",0,"2134"
"175",55,105,20106,2001,"F","55_105_20106",0,"3241"
"176",55,105,20144,2004,"F","55_105_20144",0,"3124"
"177",55,105,20185,2001,"M","55_105_20185",0,"4132"
"178",55,105,20194,2003,"M","55_105_20194",0,"4312"
"179",55,105,20198,2000,"M","55_105_20198",0,"1432"
"180",55,105,20221,2001,"M","55_105_20221",0,"1324"
"181",55,105,20229,2003,"M","55_105_20229",0,"3142"
"182",55,105,20236,2004,"M","55_105_20236",0,"1432"
"183",55,105,20266,2004,"F","55_105_20266",0,"4321"
"184",55,105,20268,2001,"M","55_105_20268",0,"3142"
"185",55,105,20272,2003,"M","55_105_20272",0,"3124"
"186",55,105,20281,2000,"F","55_105_20281",0,"2341"
"187",55,105,20285,2000,"F","55_105_20285",0,"1423"
"188",55,105,20296,2001,"F","55_105_20296",0,"2134"
"189",55,105,20299,2001,"F","55_105_20299",0,"4213"
"190",55,105,20312,2001,"M","55_105_20312",0,"1423"
"191",55,105,20321,2002,"F","55_105_20321",0,"3412"
"192",55,105,20328,2003,"M","55_105_20328",0,"2413"
"193",55,105,20329,2003,"M","55_105_20329",0,"4123"
"194",55,105,20331,2003,"M","55_105_20331",0,"4132"
"195",55,105,20343,2003,"M","55_105_20343",0,"1342"
"196",55,105,20345,2003,"M","55_105_20345",0,"1243"
"197",55,105,20349,2004,"M","55_105_20349",0,"3241"
"198",55,105,20355,2004,"F","55_105_20355",0,"1324"
"199",55,107,10485,2004,"F","55_107_10485",0,"4312"
"200",55,107,20001,2002,"F","55_107_20001",0,"2341"
"201",55,107,20012,2002,"M","55_107_20012",0,"4231"
"202",55,107,20020,2002,"F","55_107_20020",0,"3214"
"203",55,107,20026,2003,"F","55_107_20026",0,"4321"
"204",55,107,20037,2003,"F","55_107_20037",0,"1243"
"205",55,107,20038,2000,"F","55_107_20038",0,"3142"
"206",55,107,20039,2001,"F","55_107_20039",0,"1432"
"207",55,107,20042,2001,"M","55_107_20042",0,"4132"
"208",55,107,20043,2001,"F","55_107_20043",0,"2134"
"209",55,107,20052,2000,"F","55_107_20052",0,"3412"
"210",55,107,20055,2000,"F","55_107_20055",0,"1234"
"211",55,107,20060,2001,"M","55_107_20060",0,"3412"
"212",55,107,20062,2004,"F","55_107_20062",0,"2314"
"213",55,107,20068,2000,"F","55_107_20068",0,"2413"
"214",55,107,20073,2004,"F","55_107_20073",0,"4213"
"215",55,107,20074,2003,"F","55_107_20074",0,"3214"
"216",55,107,20078,2001,"F","55_107_20078",0,"4321"
"217",55,107,20081,2002,"F","55_107_20081",0,"3124"
"218",55,107,20083,2002,"M","55_107_20083",0,"2314"
"219",55,107,20089,2003,"M","55_107_20089",0,"1324"
"220",55,107,20090,2003,"F","55_107_20090",0,"2413"
"221",55,107,20091,2001,"M","55_107_20091",0,"4123"
"222",55,107,20098,2003,"M","55_107_20098",0,"4312"
"223",55,107,20101,2004,"F","55_107_20101",0,"1423"
"224",55,107,20103,2001,"M","55_107_20103",0,"1432"
"225",55,107,20106,2003,"F","55_107_20106",0,"4213"
"226",55,107,20107,2001,"F","55_107_20107",0,"4213"
"227",55,107,20116,2003,"F","55_107_20116",0,"3214"
"228",55,107,20126,2004,"F","55_107_20126",0,"3214"
"229",55,107,20133,2001,"F","55_107_20133",0,"1243"
"230",55,107,20135,2003,"F","55_107_20135",0,"1342"
"231",55,107,20136,2002,"M","55_107_20136",0,"2413"
"232",55,107,20138,2002,"F","55_107_20138",0,"1234"
"233",55,107,20139,2003,"M","55_107_20139",0,"4321"
"234",55,107,20149,2004,"M","55_107_20149",0,"3421"
"235",55,107,20150,2003,"F","55_107_20150",0,"2134"
"236",55,107,20155,2002,"F","55_107_20155",0,"1243"
"237",55,107,20164,2001,"F","55_107_20164",0,"3421"
"238",55,107,20166,2004,"F","55_107_20166",0,"4231"
"239",55,107,20168,2003,"M","55_107_20168",0,"1342"
"240",55,107,20172,2000,"F","55_107_20172",0,"2143"
"241",55,107,20180,2004,"F","55_107_20180",0,"1243"
"242",55,107,20184,2003,"F","55_107_20184",0,"2143"
"243",55,107,20188,2004,"F","55_107_20188",0,"1432"
"244",55,107,20192,2002,"F","55_107_20192",0,"1243"
"245",55,107,20195,2000,"M","55_107_20195",0,"4132"
"246",55,107,20203,2004,"F","55_107_20203",0,"1423"
"247",55,107,20210,2000,"F","55_107_20210",0,"1324"
"248",55,107,20214,2002,"F","55_107_20214",0,"3142"
"249",55,107,20217,2000,"M","55_107_20217",0,"4312"
"250",55,107,20224,2001,"F","55_107_20224",0,"1243"
"251",55,107,20225,2003,"F","55_107_20225",0,"1432"
"252",55,107,20226,2001,"F","55_107_20226",0,"4213"
"253",55,107,20227,2003,"F","55_107_20227",0,"3124"
"254",55,107,20230,2003,"F","55_107_20230",0,"2134"
