"","ECO_PROVINCE","EPSILON","p0","p1","p2","LANDIS_MEAN","FIA_MEAN","MEAN_BIAS","SD_BIAS","N","NULLHYP"
"1","abiebals",0.5,2.22489655346688e-109,2.59636538495336e-238,0.999999999999882,0.0463075676522127,0.113889926930776,0.0675823592785637,0.0946505352366779,1199,"NOT REJECTED"
"2","acernegu",0.5,3.4427666768549e-06,0.0119778834863616,4.46532295420973e-25,0.177887829538462,0.121808174780869,-0.0560796547575926,0.165570966904356,199,"REJECTED"
"3","acerrubr",0.5,9.10901575111275e-15,6.84603354886375e-55,4.14548085739932e-182,0.173473235361607,0.150161955711937,-0.0233112796496695,0.14213559312868,2264,"REJECTED"
"4","acersacc",0.5,0.00823152879819719,1.19359068315705e-117,3.99248267535072e-77,0.177960689799184,0.18684645508412,0.00888576528493598,0.14815160139229,1945,"REJECTED"
"5","betualle",0.5,0.00017488702256888,6.55624685482769e-34,6.65359453583892e-09,0.0930336711118482,0.111612634935636,0.0185789638237876,0.0941269311406288,369,"REJECTED"
"6","betupapy",0.5,5.14784720732306e-21,0.0174198417546727,1.01812406990822e-76,0.136522722269007,0.0915691192916735,-0.0449536029773334,0.109332197929698,567,"REJECTED"
"7","carycord",0.5,0.946132382102586,3.89264790726975e-13,8.91208142533825e-13,0.11232484972683,0.112791544634942,0.000466694908112036,0.103954992250645,227,"REJECTED"
"8","caryovat",0.5,0.25881942701126,2.75044137423059e-08,1.00721811101507e-13,0.113173171028653,0.104412417038765,-0.0087607539898879,0.105200382054666,185,"REJECTED"
"9","fraxamer",0.5,2.47442258965069e-12,0.000149358933996244,6.35005612325641e-56,0.137499343977786,0.0953498631563449,-0.0421494808214409,0.126984128356091,470,"REJECTED"
"10","fraxnigr",0.5,2.87292157520867e-05,7.76958895585951e-19,3.00987048657815e-57,0.171362414901499,0.152836213609148,-0.0185262012923513,0.116563347985543,702,"REJECTED"
"11","fraxpenn",0.5,0.241687905039133,4.39264488045876e-13,3.36334997319379e-20,0.130674060477371,0.121039181353677,-0.00963487912369372,0.142017728475607,299,"REJECTED"
"12","l_inconi",0.5,0.413706157045987,0.0136402604295876,0.000164235548424932,0.156854646313298,0.141393863692275,-0.0154607826210233,0.116827566529171,39,"REJECTED"
"13","l_inhard",0.5,0.561629102633398,0.030539945420861,0.00216309597289735,0.233223531506547,0.212881259205804,-0.0203422723007432,0.176323482194218,26,"REJECTED"
"14","l_tohard",0.5,0.937291342397071,5.46259986770424e-07,2.76031101717129e-07,0.0909268234335339,0.0902773537561405,-0.000649469677393388,0.0863808900316355,110,"REJECTED"
"15","larilari",0.5,3.15163248084228e-11,0.0334675790248951,4.13148577119869e-41,0.214889806974155,0.151673181665613,-0.0632166253085417,0.16015702084082,305,"REJECTED"
"16","ostrvirg",0.5,1.72032788456985e-29,2.65926084119289e-101,0.0530070275824502,0.0335410045265412,0.0537994343522489,0.0202584298257077,0.0460748049985236,720,"NOT REJECTED"
"17","piceglau",0.5,3.39526989076186e-11,0.219369748916349,1.72982059933244e-35,0.187641420638677,0.12629777201564,-0.0613436486230361,0.136371074919551,239,"NOT REJECTED"
"18","picemari",0.5,6.40689876108644e-45,8.36167954934789e-81,0.999999999999136,0.047446568162798,0.154620904693034,0.107174336530236,0.118834776381953,333,"NOT REJECTED"
"19","pinubank",0.5,8.79517180477415e-06,0.00206408830900157,3.50991116332707e-26,0.213305179856459,0.157408016466462,-0.0558971633899969,0.18298714721793,222,"REJECTED"
"20","pinuresi",0.5,7.71995993303871e-08,6.82065098022289e-47,1.49391347379291e-07,0.289570969041727,0.336028800023983,0.046457830982256,0.181390870411269,455,"REJECTED"
"21","pinustro",0.5,0.238595574885291,1.77976600478662e-36,2.22489440550855e-26,0.234938008299927,0.245509730719789,0.0105717224198621,0.219694543774589,601,"REJECTED"
"22","popugran",0.5,2.00598965881956e-11,0.00521997991018655,6.0665276819315e-46,0.238189693879798,0.156452025890076,-0.0817376679897219,0.22424322983609,361,"REJECTED"
"23","poputrem",0.5,2.14911330429362e-144,1.48694557095843e-291,1,0.0785160928305062,0.180158289943966,0.10164219711346,0.129580375336412,1366,"NOT REJECTED"
"24","prunsero",0.5,3.62202715570281e-50,2.06754700558694e-115,0.999970199697404,0.0255600495005384,0.0703100964152199,0.0447500469146815,0.0673987378670697,608,"NOT REJECTED"
"25","queralba",0.5,2.45070047004654e-27,6.57490580531273e-73,0.887102341246145,0.0724605715464257,0.153476160253791,0.0810155887073654,0.145113100474835,433,"NOT REJECTED"
"26","querelli",0.5,0.0273436665306156,1.37707800891312e-11,1.17306282522055e-25,0.16313972705775,0.14719586704224,-0.0159438600155106,0.131073364488255,332,"REJECTED"
"27","quermacr",0.5,0.159381736560293,1.64038643707488e-08,1.26869379360521e-15,0.1662923378113,0.148484645129525,-0.017807692681775,0.180531871957612,205,"REJECTED"
"28","querrubr",0.5,3.40748847694207e-05,1.04190802081872e-52,1.41324037619816e-16,0.182819657912758,0.210167813561873,0.0273481556491148,0.164831507371807,633,"REJECTED"
"29","quervelu",0.5,0.000490080692460628,0.000244925165291528,1.61203706810258e-21,0.215246748166934,0.171902554239339,-0.043344193927595,0.173379999287485,201,"REJECTED"
"30","s_inhard",0.5,0.638831537450982,1.6769140809056e-10,2.04294174251375e-08,0.0393326191924575,0.0412131827373896,0.00188056354493208,0.0499475166132533,156,"REJECTED"
"31","s_tohard",0.5,2.89235263582472e-09,0.985323678969767,3.2500684952759e-18,0.109545323247882,0.0320215058184361,-0.0775238174294463,0.103628038516835,80,"NOT REJECTED"
"32","thujocci",0.5,0.478576487432688,1.58535073955534e-23,1.30457018789534e-18,0.34048730224475,0.347418319841962,0.00693101759721194,0.193227793590503,391,"REJECTED"
"33","tiliamer",0.5,0.17915403853405,5.3350796253239e-45,3.48140274846252e-32,0.150546803256488,0.158338164402231,0.00779136114574238,0.158369462636371,747,"REJECTED"
"34","tsugcana",0.5,1.14919830584437e-10,4.53505573790457e-39,0.0346008558369628,0.166435203520716,0.239557894578108,0.0731226910573923,0.186111307655367,290,"REJECTED"
"35","ulmuamer",0.5,1.68640630761758e-05,3.1078980215675e-17,9.46783428144055e-56,0.143056360229486,0.112456359522184,-0.0306000007073022,0.182461605118014,668,"REJECTED"
