"","ECO_PROVINCE","EPSILON","p0","p1","p2","LANDIS_MEAN","FIA_MEAN","MEAN_BIAS","SD_BIAS","N","NULLHYP"
"1","abiebals",0.5,7.59017330296706e-19,1.89729529400143e-16,7.33434793199667e-121,0.146007993171809,0.114113032367465,-0.0318949608043444,0.122240721638893,1194,"REJECTED"
"2","acernegu",0.5,7.36882205014612e-06,0.00761025815985499,1.49180893737876e-24,0.175639195129411,0.121875472663646,-0.0537637224657647,0.164697694670193,199,"REJECTED"
"3","acerrubr",0.5,6.06748528122073e-10,5.44000344159391e-63,1.57425554608187e-163,0.169583136518354,0.150887534749477,-0.0186956017688771,0.141191363249637,2204,"REJECTED"
"4","acersacc",0.5,0.00136312488917461,1.01025850337093e-121,9.16268066580162e-73,0.175988444152696,0.18669431503848,0.0107058708857846,0.146845894814422,1935,"REJECTED"
"5","betualle",0.5,1.23443595953465e-05,9.33186393367788e-36,3.70086306231109e-07,0.09106747710702,0.113034286075802,0.0219668089687821,0.0938773535887109,359,"REJECTED"
"6","betupapy",0.5,9.42440981036748e-18,0.00554071750655251,1.66532076623396e-68,0.134525768803059,0.0929818571033272,-0.0415439116997315,0.106896244157535,524,"REJECTED"
"7","carycord",0.5,0.592821312112356,5.47690728132012e-14,3.4330050592404e-11,0.112633344529314,0.116603525089916,0.00397018056060233,0.109708200840738,219,"REJECTED"
"8","caryovat",0.5,0.969813222291294,7.76746821536809e-11,5.09621766218137e-11,0.107269013990642,0.106972350786814,-0.000296663203827229,0.106770699910684,186,"REJECTED"
"9","fraxamer",0.5,4.01892825242569e-12,0.000186406341919409,9.84359060632712e-55,0.136740479307944,0.0950625953182202,-0.0416778839897242,0.125290204653591,459,"REJECTED"
"10","fraxnigr",0.5,0.000857265171392412,2.45725059853737e-21,1.21275449998657e-51,0.169266824772638,0.154205746329444,-0.0150610784431948,0.117635988072722,684,"REJECTED"
"11","fraxpenn",0.5,0.637821419857645,6.6210613558088e-15,9.44238029046348e-18,0.131796358577698,0.127520065372642,-0.00427629320505582,0.155861793818952,295,"REJECTED"
"12","l_inconi",0.5,0.346145304987013,0.018221270816848,0.000112470073690556,0.158844140414841,0.141393863692275,-0.0174502767225668,0.114239284131235,39,"REJECTED"
"13","l_inhard",0.5,0.515753656708014,0.0351861384470478,0.00181844675393383,0.235443187546795,0.212881259205804,-0.022561928340991,0.174503288338031,26,"REJECTED"
"14","l_tohard",0.5,0.978855992389029,4.89484744851107e-07,3.89316250039294e-07,0.092185792387315,0.0919529500226179,-0.00023284236469713,0.091510548622533,109,"REJECTED"
"15","larilari",0.5,0.00105112896512875,4.36372007108784e-06,5.1304320562575e-24,0.197623491647639,0.160924366678715,-0.0366991249689238,0.173937433782648,247,"REJECTED"
"16","ostrvirg",0.5,1.41188182561789e-26,0.0109787665775409,3.21616576735864e-97,0.0789603265998025,0.0537507612169432,-0.0252095653828593,0.0608382946027899,719,"REJECTED"
"17","piceglau",0.5,1.07784617443015e-09,0.111489037935064,1.05219916224987e-32,0.17919450878355,0.125487142644213,-0.0537073661393368,0.128049631496804,230,"NOT REJECTED"
"18","picemari",0.5,1.15155689386629e-48,1,3.6456733914915e-83,0.337817585667114,0.157397226478859,-0.180420359188255,0.185271061062683,323,"NOT REJECTED"
"19","pinubank",0.5,4.29129773810111e-08,0.0542253471273911,4.78638181261046e-29,0.250902928547417,0.158755711447197,-0.0921472171002196,0.236549122671891,213,"NOT REJECTED"
"20","pinuresi",0.5,9.64028988999027e-09,3.16068789319464e-47,2.90888432559402e-06,0.290586514026821,0.34089656800008,0.050310053973259,0.179553427423544,436,"REJECTED"
"21","pinustro",0.5,0.196609202228051,3.06883942850155e-36,2.63201427688398e-25,0.234923196892349,0.246650025496753,0.0117268286044037,0.219779520601357,587,"REJECTED"
"22","popugran",0.5,3.06809401137624e-10,0.00246992222155108,5.13887033015978e-43,0.230147213344809,0.154741265073517,-0.0754059482712914,0.216605957450144,347,"REJECTED"
"23","poputrem",0.5,4.00553812019235e-16,1.20768645308927e-22,7.98710667229136e-124,0.224130995937538,0.181131556779511,-0.042999439158027,0.189297699915738,1317,"REJECTED"
"24","prunsero",0.5,0.0208467512953149,1.17396493227295e-41,6.43774210737211e-22,0.0639564411400198,0.0715116687506531,0.00755522761063334,0.0798766809810509,600,"REJECTED"
"25","queralba",0.5,9.34103251013641e-38,3.39403145154212e-83,0.999956872083192,0.0611878785303753,0.156056419346031,0.0948685408156557,0.136847406163034,421,"NOT REJECTED"
"26","querelli",0.5,0.0490289046018278,4.04882950857623e-12,1.26133011986466e-24,0.16191769730216,0.147880914418746,-0.014036782883414,0.128869152491134,329,"REJECTED"
"27","quermacr",0.5,0.0470564072757041,1.0592154511071e-06,2.40749569993864e-16,0.163450910724881,0.139481874478647,-0.0239690362462333,0.165289342677638,190,"REJECTED"
"28","querrubr",0.5,1.17267218083321e-05,2.65093384795191e-53,1.93668330248811e-15,0.18261728385124,0.212569749224292,0.0299524653730523,0.169202135711849,623,"REJECTED"
