"","STATECD","disturbance","n_plots"
"1",1,"CD",3788
"2",1,"ND",6698
"3",1,"SD",7071
"4",5,"CD",2318
"5",5,"ND",5189
"6",5,"SD",5642
"7",4,"CD",420
"8",4,"ND",4073
"9",4,"SD",1665
"10",6,"CD",755
"11",6,"ND",7243
"12",6,"SD",2234
"13",8,"CD",841
"14",8,"ND",3972
"15",8,"SD",2302
"16",9,"CD",61
"17",9,"ND",461
"18",9,"SD",430
"19",10,"CD",19
"20",10,"ND",187
"21",10,"SD",195
"22",12,"CD",1114
"23",12,"ND",4112
"24",12,"SD",3560
"25",13,"CD",3491
"26",13,"ND",6325
"27",13,"SD",6544
"28",19,"CD",187
"29",19,"ND",1269
"30",19,"SD",758
"31",16,"CD",643
"32",16,"ND",3126
"33",16,"SD",2293
"34",17,"CD",271
"35",17,"ND",1972
"36",17,"SD",1253
"37",18,"CD",402
"38",18,"ND",2935
"39",18,"SD",1416
"40",20,"CD",82
"41",20,"ND",1324
"42",20,"SD",417
"43",21,"CD",1142
"44",21,"ND",4513
"45",21,"SD",2606
"46",22,"CD",1207
"47",22,"ND",2053
"48",22,"SD",2571
"49",25,"CD",181
"50",25,"ND",625
"51",25,"SD",848
"52",24,"CD",74
"53",24,"ND",592
"54",24,"SD",581
"55",23,"CD",619
"56",23,"ND",6393
"57",23,"SD",5411
"58",26,"CD",1258
"59",26,"ND",15155
"60",26,"SD",8109
"61",27,"CD",2728
"62",27,"ND",12109
"63",27,"SD",8431
"64",29,"CD",829
"65",29,"ND",6920
"66",29,"SD",4338
"67",28,"CD",1769
"68",28,"ND",4009
"69",28,"SD",4871
"70",30,"CD",727
"71",30,"ND",4201
"72",30,"SD",2562
"73",37,"CD",2801
"74",37,"ND",5378
"75",37,"SD",5486
"76",38,"CD",38
"77",38,"ND",451
"78",38,"SD",121
"79",31,"CD",45
"80",31,"ND",762
"81",31,"SD",232
"82",33,"CD",235
"83",33,"ND",1371
"84",33,"SD",1244
"85",34,"CD",56
"86",34,"ND",1011
"87",34,"SD",404
"88",35,"CD",429
"89",35,"ND",3404
"90",35,"SD",1476
"91",32,"CD",60
"92",32,"ND",2495
"93",32,"SD",600
"94",36,"CD",877
"95",36,"ND",5376
"96",36,"SD",3446
"97",39,"CD",397
"98",39,"ND",3399
"99",39,"SD",1377
"100",40,"CD",566
"101",40,"ND",2279
"102",40,"SD",1210
"103",41,"CD",1148
"104",41,"ND",14162
"105",41,"SD",3207
"106",42,"CD",625
"107",42,"ND",6749
"108",42,"SD",3495
"109",44,"CD",11
"110",44,"ND",194
"111",44,"SD",179
"112",45,"CD",1970
"113",45,"ND",4495
"114",45,"SD",4314
"115",46,"CD",77
"116",46,"ND",1000
"117",46,"SD",336
"118",47,"CD",2029
"119",47,"ND",3728
"120",47,"SD",3996
"121",48,"CD",1433
"122",48,"ND",13670
"123",48,"SD",4311
"124",49,"CD",337
"125",49,"ND",4356
"126",49,"SD",1523
"127",51,"CD",1842
"128",51,"ND",5173
"129",51,"SD",4590
"130",50,"CD",208
"131",50,"ND",1284
"132",50,"SD",1163
"133",53,"CD",1499
"134",53,"ND",7872
"135",53,"SD",2177
"136",55,"CD",1740
"137",55,"ND",12936
"138",55,"SD",7876
"139",54,"CD",874
"140",54,"ND",3724
"141",54,"SD",3373
"142",56,"CD",1858
"143",56,"ND",844
"144",56,"SD",916
