"","ECO_PROVINCE","EPSILON","p0","p1","p2","LANDIS_MEAN","FIA_MEAN","MEAN_BIAS","SD_BIAS","N","NULLHYP"
"1","abiebals",0.5,6.70154710133226e-180,1,7.76877509804154e-305,0.346590235962887,0.114604019652983,-0.231986216309904,0.232146381501026,1182,"NOT REJECTED"
"2","acernegu",0.5,6.24855866563887e-05,0.00203163467536518,8.802065663835e-23,0.17130717250217,0.121947737849051,-0.0493594346531192,0.168860643621029,196,"REJECTED"
"3","acerrubr",0.5,7.12490497597568e-06,2.5210744833656e-66,7.16212206638878e-136,0.165157396830906,0.150616898962098,-0.0145404978688078,0.144191487789628,1993,"REJECTED"
"4","acersacc",0.5,4.94379949381736e-06,5.21928450803529e-128,5.84938934373387e-60,0.173049705663293,0.189006146595467,0.0159564409321749,0.14962344294802,1845,"REJECTED"
"5","betualle",0.5,5.69113369505835e-07,8.46533611284559e-35,0.000130117575984765,0.08971048628044,0.117760011356645,0.0280495250762048,0.096672221089324,310,"REJECTED"
"6","betupapy",0.5,2.50686946044001e-13,0.000997828571467055,3.01864888364137e-56,0.129514899118004,0.0917962764919447,-0.0377186226260588,0.106523147035299,454,"REJECTED"
"7","carycord",0.5,0.73292982422191,1.73533792323375e-12,8.87489671439819e-11,0.114657705695408,0.117253529444102,0.00259582374869409,0.107431760569904,200,"REJECTED"
"8","caryovat",0.5,0.346924493486754,4.78971110330893e-08,2.13723898313966e-12,0.110790708903129,0.103339115540036,-0.00745159336309331,0.103007617398308,170,"REJECTED"
"9","fraxamer",0.5,1.99849410073958e-10,5.31608626922729e-05,4.23425479519055e-50,0.134415161356124,0.0945938645197468,-0.0398212968363772,0.127450317670038,435,"REJECTED"
"10","fraxnigr",0.5,0.0412139106044959,1.9027308347601e-25,9.67977879738513e-44,0.164197267835363,0.154278907508359,-0.00991836032700312,0.124576944425309,660,"REJECTED"
"11","fraxpenn",0.5,0.433024033133124,1.36231486335998e-13,2.93449396318401e-18,0.132213281481682,0.125551713415107,-0.00666156806657458,0.143487056410282,286,"REJECTED"
"12","l_inconi",0.5,0.584790835851918,0.00708311455496856,0.000366965033910828,0.152589148887886,0.141584203809423,-0.0110049450784636,0.124706603384879,39,"REJECTED"
"13","l_inhard",0.5,0.194790498255854,0.138388056305724,0.000479069357753241,0.234301158201972,0.192536385498188,-0.0417647727037839,0.153208418106159,24,"NOT REJECTED"
"14","l_tohard",0.5,0.812707413572756,1.07320220177941e-06,1.3741599477475e-07,0.091686603336838,0.0896652050570745,-0.00202139827976353,0.0892621350766495,110,"REJECTED"
"15","larilari",0.5,0.000849480185328204,8.74506732614117e-06,8.25626360666384e-24,0.201405214005422,0.163298070028006,-0.0381071439774162,0.175087028532707,241,"REJECTED"
"16","ostrvirg",0.5,2.40892506417872e-104,1,5.8210594431286e-180,0.195384705164639,0.0541623971686672,-0.141222307995972,0.145682966565429,711,"NOT REJECTED"
"17","piceglau",0.5,3.06037666192499e-05,0.00344905047647161,2.61230357010866e-23,0.172470106754152,0.129910413211266,-0.042559693542886,0.139564776290163,196,"REJECTED"
"18","picemari",0.5,2.7822757840233e-37,0.999999989193504,1.89846447657259e-71,0.316851288623858,0.158802526097949,-0.158048762525909,0.191864906379867,315,"NOT REJECTED"
"19","pinubank",0.5,3.40136760704088e-07,0.0329843471075415,6.35828412505953e-27,0.254581169857793,0.164417840631292,-0.0901633292265017,0.243520383113524,203,"REJECTED"
"20","pinuresi",0.5,1.45954893853384e-09,1.89801447359142e-46,6.02819719817481e-05,0.294171433426811,0.351974103881177,0.0578026704543656,0.188097553765743,406,"REJECTED"
"21","pinustro",0.5,0.0767704789110963,1.77824534256141e-36,5.94023864992336e-22,0.231362078757427,0.24822898088461,0.0168669021271831,0.223501509744465,552,"REJECTED"
